k,Epsilon,C_Threshold,DP_Best_Dev,Alg2_Time_sec,Alg4_Time_sec,Alg5_Time_sec
7,1.0,3200,728,0.022605,0.024265,0.017513
7,2.0,3200,1430,11.849021,0.047928,0.041716
7,3.0,3200,2159,14.129651,0.080634,0.076289
7,4.0,3200,2694,TIMEOUT,0.380146,0.357946
7,5.0,3200,3469,TIMEOUT,0.480832,0.481336
