k,Epsilon,C_Threshold,Alg2_Time_sec,Alg4_Time_sec,Alg5_Time_sec
4,1.0,63000.0,0.014499,0.012563,0.012973
4,2.0,126000.0,0.011475,0.013725,0.013635
4,3.0,189000.0,0.011408,0.014973,0.014929
4,4.0,252000.0,0.011374,0.017055,0.016823
4,5.0,315000.0,0.011371,0.019423,0.018897
