k,Epsilon,C_Threshold,DP_Best_Dev,Alg2_Time_sec,Alg4_Time_sec,Alg5_Time_sec
3,3.0,6500,0,0.0814,0.085483,0.082823
4,3.0,6500,0,0.095505,0.088522,0.08547
5,3.0,6500,0,0.361762,0.087529,0.086133
6,3.0,6500,0,4.886859,0.088755,0.087483
7,3.0,6500,0,69.41028,0.107802,0.091683
8,3.0,6500,0,TIMEOUT,0.288965,0.28448
9,3.0,6500,0,TIMEOUT,0.468422,0.429191
10,3.0,6500,0,TIMEOUT,0.654182,0.60695
