k,Epsilon,C_Threshold,DP_Best_Dev,Alg2_Time_sec,Alg4_Time_sec,Alg5_Time_sec
7,1.0,6300,0,38.953235,0.022344,0.017588
7,2.0,6300,0,49.430232,0.04805,0.04163
7,3.0,6300,0,59.645282,0.084221,0.078098
7,4.0,6300,0,67.917155,0.121632,0.119752
7,5.0,6300,0,76.392398,0.177641,0.167357
