k,Epsilon,C_Threshold,DP_Best_Dev,Alg2_Time_sec,Alg4_Time_sec,Alg5_Time_sec
3,3.0,3200,1479,0.087735,0.090416,0.088546
4,3.0,3200,1633,0.090846,0.092499,0.089351
5,3.0,3200,1688,0.150079,0.100153,0.090073
6,3.0,3200,2049,1.204213,0.091576,0.087062
7,3.0,3200,2159,16.276644,0.095648,0.088456
8,3.0,3200,2387,TIMEOUT,0.299026,0.301714
9,3.0,3200,2492,TIMEOUT,0.550201,0.463775
10,3.0,3200,2558,TIMEOUT,0.540679,0.515243
