k,Epsilon,C_Threshold,Alg2_Time_sec,Alg4_Time_sec,Alg5_Time_sec
3,2.0,126000.0,0.011789,0.013686,0.013537
4,2.0,126000.0,0.011747,0.01399,0.014341
5,2.0,126000.0,0.011587,0.014588,0.014054
6,2.0,126000.0,0.011512,0.014056,0.01354
7,2.0,126000.0,0.01146,0.014023,0.01351
8,2.0,126000.0,3.212076,0.015173,0.014439
9,2.0,126000.0,7.034305,0.014887,0.014396
10,2.0,126000.0,13.217637,0.015159,0.014146
