C,naive_maximum_epsilon,naive_runtime_seconds,prefix_maximum_epsilon,prefix_maximum_epsilon_monotonic,prefix_runtime_excluding_preprocessing_seconds,prefix_preprocessing_seconds,prefix_runtime_including_preprocessing_seconds,prefix_monotonic_runtime_excluding_preprocessing_seconds,prefix_monotonic_runtime_including_preprocessing_seconds,maximum_epsilon_match
200000,1.0,0.5082158750000003,1.0,1.0,0.0016458749999999078,0.0057629169999997565,0.007408791999999664,0.00038299999999980017,0.006145916999999557,True
300000,1.0,0.6388045839999998,1.0,1.0,0.001688874999999701,0.0057629169999997565,0.0074517919999994575,0.000365624999999703,0.0061285419999994595,True
400000,2.0,2.0968198330000005,2.0,2.0,0.005205708000000087,0.0057629169999997565,0.010968624999999843,0.000506125000000246,0.0062690420000000024,True
500000,3.0,5.909280583,3.0,3.0,0.013653457999998508,0.0057629169999997565,0.019416374999998265,0.0006464589999986003,0.006409375999998357,True
600000,4.0,12.922809500000001,4.0,4.0,0.028096333000000584,0.0057629169999997565,0.03385925000000034,0.0007551249999977472,0.006518041999997504,True
700000,4.0,12.99551575,4.0,5.0,0.028124000000005367,0.0057629169999997565,0.03388691700000512,0.0007852909999996882,0.006548207999999445,False
800000,5.0,22.842631458,5.0,7.0,0.0516220419999982,0.0057629169999997565,0.05738495899999796,0.0009632499999980837,0.00672616699999784,False
900000,6.0,36.511114125000006,6.0,9.0,0.08229962500000454,0.0057629169999997565,0.0880625420000043,0.0010796669999990627,0.006842583999998819,False
1000000,8.0,73.29183712499999,8.0,20.0,0.17922616699999594,0.0057629169999997565,0.1849890839999957,0.001560041999994155,0.0073229589999939115,False
