epsilon,C,naive_result,naive_runtime_seconds,prefix_result,prefix_runtime_excluding_preprocessing_seconds,prefix_runtime_including_preprocessing_seconds,extreme_result,extreme_runtime_excluding_preprocessing_seconds,extreme_runtime_including_preprocessing_seconds,prefix_preprocessing_seconds,results_match
1.0,1000000,Stable,0.373784208,Stable,0.0007430419999998605,0.006359917000000159,Stable,0.00022887499999990624,0.005845750000000205,0.005616875000000299,True
2.0,1000000,Stable,1.584937916,Stable,0.0026977919999993105,0.00831466699999961,Stable,0.00017266700000018176,0.0057895420000004805,0.005616875000000299,True
3.0,1000000,Stable,3.806965333,Stable,0.0065082919999994715,0.01212516699999977,Stable,0.00014237499999936176,0.0057592499999996605,0.005616875000000299,True
4.0,1000000,Stable,6.999522875,Stable,0.012780791000000846,0.018397666000001145,Stable,0.00014125000000042576,0.0057581250000007245,0.005616875000000299,True
5.0,1000000,Stable,10.146472667,Stable,0.0191715830000021,0.0247884580000024,Stable,7.570800000067379e-05,0.0056925830000009725,0.005616875000000299,True
6.0,1000000,Stable,12.901341999999996,Stable,0.025547625000001517,0.031164500000001816,Stable,7.254199999806588e-05,0.005689416999998365,0.005616875000000299,True
7.0,1000000,Stable,15.800821833,Stable,0.033811167000003195,0.039428042000003494,Stable,7.324999999980264e-05,0.005690125000000101,0.005616875000000299,True
