k,Epsilon,C_Threshold,DP_Best_Dev,Alg2_Time_sec,Alg4_Time_sec,Alg5_Time_sec
3,3.0,2300,0,0.085189,0.092926,0.085681
4,3.0,2300,0,0.089314,0.092025,0.088601
5,3.0,2300,0,0.085669,0.092836,0.089075
6,3.0,2300,21,0.086284,0.092166,0.090993
7,3.0,2300,39,0.088742,0.096231,0.088194
8,3.0,2300,54,0.088615,0.095602,0.08771
9,3.0,2300,57,0.086685,0.101289,0.087908
10,3.0,2300,57,0.084241,0.095279,0.089569
