k,Epsilon,C_Threshold,Alg2_Time_sec,Alg4_Time_sec,Alg5_Time_sec
4,1.0,48000.0,0.010945,0.006174,0.006146
4,2.0,96000.0,0.004973,0.007117,0.006986
4,3.0,144000.0,0.005109,0.008746,0.008462
4,4.0,192000.0,0.004933,0.010668,0.010371
4,5.0,240000.0,0.004882,0.012915,0.012643
