k,Epsilon,C_Threshold,DP_Best_Dev,Alg2_Time_sec,Alg4_Time_sec,Alg5_Time_sec
7,1.0,2300,0,0.018501,0.021729,0.017142
7,2.0,2300,0,0.039318,0.04682,0.040034
7,3.0,2300,39,0.073332,0.079776,0.074969
7,4.0,2300,57,0.112658,0.121428,0.118854
7,5.0,2300,181,0.16271,0.177705,0.167193
